Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Net migration,SM.POP.NETM,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-1153959,..,..,..,..,-3345095,..,..,..,..,-1525351,..,..,..,..,3076383,..,..,..,..,-867540,..,..,..,..,744193,..,..,..,..,-1046361,..,..,..,..,521769,..,..,..,..,-314602,..
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53793,9655582953.98019,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.4411,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20744935406.0955,20958745169.393
Afghanistan,AFG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,544.260064993259,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Albania,ALB,Net migration,SM.POP.NETM,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-443212,..,..,..,..,-179606,..,..,..,..,-176774,..,..,..,..,-217358,..,..,..,..,-136590,..,..,..,..,-69998,..
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5323413429.2078,5629277349.93579,5795262041.82743,5859296109.50071,5785961355.99125,5888988727.39149,6220965342.69439,6171953924.17107,6084309730.97047,6682795837.17283,6042875354.54374,4350740837.66611,4038048267.97926,4424061926.33187,4791385885.98412,5429710284.36621,5923813890.03275,5276934356.01002,5742892287.97611,6483145173.3945,6933726105.57995,7508536855.2307,7849421473.13165,8283498466.36982,8739919123.61791,9223229205.55263,9767407472.26188,10351496684.5109,11127855784.8838,11500638274.9451,11926953213.6961,12230542524.082,12403913643.3434,12528199360.3781,12749948526.2141,13034272401.1992,13470920485.9895,13987748469.2562,14547875720.1519
Albania,ALB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1894.50309306131,1695.77551071707,1868.08506595197,2120.34383032801,2293.9122549451,2512.70715919323,2622.31528845147,2788.09246322587,2947.49722939638,3116.68572889836,3350.8192103859,3576.01920138089,3793.92636583227,3866.84710950755,4053.45440365367,4210.97017792423,4245.09744513621,4400.0031849543,4452.73091262423,4577.08077141533,4756.82019707315,4879.48864743416,..
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Algeria,DZA,Net migration,SM.POP.NETM,..,..,-282941,..,..,..,..,-121335,..,..,..,..,-253436,..,..,..,..,-224833,..,..,..,..,-81020,..,..,..,..,-93302,..,..,..,..,-128679,..,..,..,..,-164413,..,..,..,..,-205228,..,..,..,..,-357340,..,..,..,..,-143268,..,..,..,..,-50002,..
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,27434399198.5661,23701828112.4837,19036113335.2005,25568113635.8175,27061141389.0302,28740798889.5036,27359811853.9881,29946124625.8101,33179179683.712,35977272901.7645,39165815236.0404,34727655043.5586,44251356563.9066,45938738803.5353,49381809470.8621,51873290453.4046,56223777003.7627,59180352662.8655,64633724928.158,69466922771.1721,70016133106.5164,72116614360.2801,76732080647.514,80875615322.4914,85404646973.9496,88564616567.7931,88918875921.9762,88296445990.496,87413476682.8251,91259671545.3277,91989749446.9795,90885871916.0363,92521819701.8253,90578860785.6483,89763654164.5903,93174668346.0474,96994828322.4354,98061771373.7004,103062925254.282,106360940460.508,110423586430.994,113745564598.73,120125920931.173,128777236288.584,134316749131.751,142251902308.528,144648118986.031,149526919452.577,153055956405.236,155554202821.621,161207268655.392,165869166838.539,171466867482.163,176212451150.234,182889354514.369,189772334940.908,196034821993.495,199171379146.415,203353978108.49
Algeria,DZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2872.48754580162,2490.42648472816,1781.85169570052,2190.34929739941,2216.97508666933,2242.36527389748,2056.66505845651,2214.93291000596,2401.37187035613,2561.39301843691,2657.57115961501,2320.77216698676,2889.94997621619,2904.73322872597,3041.49495442819,3087.15699033212,3227.97974794477,3303.36721619986,3488.31969342839,3581.32543789837,3508.86624634589,3497.996132795,3611.69076264977,3709.27457133254,3792.09617588897,3817.84395180371,3758.14320046807,3628.52099702852,3455.81259629004,3514.60573178597,3448.92606570807,3265.25764299719,3267.00372764666,3166.43349558496,3054.67215261878,3074.24684694637,3131.37321229348,3141.72366421397,3280.64732853894,3313.38102676975,3349.08035296455,3497.46205299531,3607.15289843275,3821.59005899263,3903.36719275664,4003.4259156371,4051.52495751646,4287.80023628515,4364.26421391333,4351.10047147916,4470.01910377832,4456.83746761051,4457.36436894624,4470.02282156955,4547.02660205284,4602.45823123554,4775.71485661524,4714.94452618961,..
